randomtestcard1.c:
Testing Smithy...
Seed: 501838444, test failed.
Seed: 52283113, test failed.
Seed: 1860582272, test failed.
Seed: 1524322078, test failed.
Seed: 955680954, test failed.
Seed: 219061954, test failed.
Seed: 1630929258, test failed.
Seed: 544552505, test failed.
Seed: 1924873954, test failed.
Seed: 1114395089, test failed.
Seed: 23958122, test failed.
Seed: 660969939, test failed.
Seed: 1227626648, test failed.
Seed: 568171738, test failed.
Seed: 619153080, test failed.
Seed: 2108785824, test failed.
Seed: 711897644, test failed.
Seed: 1045354260, test failed.
Seed: 1707462792, test failed.
Seed: 1896310591, test failed.
Seed: 687433895, test failed.
Seed: 1008158031, test failed.
Seed: 139825288, test failed.
Seed: 1052217907, test failed.
Seed: 1961102933, test failed.
Seed: 693353940, test failed.
Seed: 1540237503, test failed.
Seed: 1005775800, test failed.
Seed: 1558925162, test failed.
Seed: 117876613, test failed.
Seed: 317771360, test failed.
Seed: 1151586120, test failed.
Seed: 92764079, test failed.
Seed: 1454665274, test failed.
Seed: 471649423, test failed.
Seed: 168403321, test failed.
Seed: 1171381115, test failed.
Seed: 1329962823, test failed.
Seed: 581788241, test failed.
Seed: 1228421998, test failed.
Seed: 253826430, test failed.
Seed: 232984934, test failed.
Seed: 1128616170, test failed.
Seed: 266960789, test failed.
Seed: 665224625, test failed.
Seed: 570652279, test failed.
Seed: 464016192, test failed.
Seed: 2012664991, test failed.
Seed: 1771695132, test failed.
Seed: 209523494, test failed.
Seed: 375855186, test failed.
Seed: 1254944226, test failed.
Seed: 1554488167, test failed.
Seed: 710959057, test failed.
Seed: 672120484, test failed.
Seed: 384200288, test failed.
Seed: 1713673346, test failed.
Seed: 572527200, test failed.
Seed: 1855945957, test failed.
Seed: 1234863552, test failed.
Seed: 1224325391, test failed.
Seed: 1356682921, test failed.
Seed: 1380270583, test failed.
Seed: 97638206, test failed.
Seed: 394227233, test failed.
Seed: 1100342975, test failed.
Seed: 685088515, test failed.
Seed: 169835073, test failed.
Seed: 645226954, test failed.
Seed: 80885796, test failed.
Seed: 672691537, test failed.
Seed: 95810705, test failed.
Seed: 1082271306, test failed.
Seed: 933687103, test failed.
Seed: 1507825894, test failed.
Seed: 1164420551, test failed.
Seed: 1826582840, test failed.
Seed: 125525573, test failed.
Seed: 1595484088, test failed.
Seed: 2063851843, test failed.
Seed: 530325480, test failed.
Seed: 612310092, test failed.
Seed: 1224514723, test failed.
Seed: 1307507030, test failed.
Seed: 1662939295, test failed.
Seed: 1039605468, test failed.
Seed: 1853478910, test failed.
Seed: 427028420, test failed.
Seed: 1803754078, test failed.
Seed: 1579000185, test failed.
Seed: 1381782532, test failed.
Seed: 1748763961, test failed.
Seed: 969556912, test failed.
Seed: 2120251499, test failed.
Seed: 2097453314, test failed.
Seed: 259785025, test failed.
Seed: 905847216, test failed.
Seed: 1695709141, test failed.
Seed: 1654240283, test failed.
Seed: 1852619969, test failed.
Seed: 96641702, test failed.
Seed: 1357843115, test failed.
Seed: 1880157962, test failed.
Seed: 590903534, test failed.
Seed: 998103412, test failed.
Seed: 553041068, test failed.
Seed: 618357159, test failed.
Seed: 1293284020, test failed.
Seed: 2028610916, test failed.
Seed: 2005471423, test failed.
Seed: 1155187918, test failed.
Seed: 311392080, test failed.
Seed: 989867917, test failed.
Seed: 2043913426, test failed.
Seed: 715350097, test failed.
Seed: 1666320483, test failed.
Seed: 346307888, test failed.
Seed: 614628765, test failed.
Seed: 514067838, test failed.
Seed: 1615410594, test failed.
Seed: 1227952370, test failed.
Seed: 1744573546, test failed.
Seed: 175289395, test failed.
Seed: 1286739952, test failed.
Seed: 8942142, test failed.
Seed: 2034997245, test failed.
Seed: 1262500527, test failed.
Seed: 1077681546, test failed.
Seed: 58523251, test failed.
Seed: 601509349, test failed.
Seed: 575677423, test failed.
Seed: 1585865148, test failed.
Seed: 997026134, test failed.
Seed: 1000967513, test failed.
Seed: 1258542564, test failed.
Seed: 875781575, test failed.
Seed: 489862473, test failed.
Seed: 37837167, test failed.
Seed: 1363245392, test failed.
Seed: 721568532, test failed.
Seed: 321821198, test failed.
Seed: 388833946, test failed.
Seed: 807987807, test failed.
Seed: 1689206522, test failed.
Seed: 293143169, test failed.
Seed: 1640384407, test failed.
Seed: 263578407, test failed.
Seed: 1790805904, test failed.
Seed: 1131776173, test failed.
Seed: 624214866, test failed.
Seed: 1113184229, test failed.
Seed: 581846376, test failed.
Seed: 1972867916, test failed.
Seed: 120714924, test failed.
Seed: 1944260663, test failed.
Seed: 413333547, test failed.
Seed: 1451365586, test failed.
Seed: 1702919939, test failed.
Seed: 121199338, test failed.
Seed: 978380804, test failed.
Seed: 1387875036, test failed.
Seed: 1283163101, test failed.
Seed: 1550047471, test failed.
Seed: 764574336, test failed.
Seed: 1570775127, test failed.
Seed: 777175085, test failed.
Seed: 741301997, test failed.
Seed: 2139522412, test failed.
Seed: 1978705005, test failed.
Seed: 1755315925, test failed.
Seed: 955037144, test failed.
Seed: 1894080233, test failed.
Seed: 823333318, test failed.
Seed: 370788829, test failed.
Seed: 546675689, test failed.
Seed: 1358875164, test failed.
Seed: 1820451197, test failed.
Seed: 1438520520, test failed.
Seed: 1421039975, test failed.
Seed: 1757355016, test failed.
Seed: 1444400412, test failed.
Seed: 1380807163, test failed.
Seed: 1746067915, test failed.
Seed: 604905026, test failed.
Seed: 1485599615, test failed.
Seed: 1205287644, test failed.
Seed: 233903128, test failed.
Seed: 552072195, test failed.
Seed: 253917106, test failed.
Seed: 2001769102, test failed.
Seed: 124547009, test failed.
Seed: 587659873, test failed.
Seed: 1707715236, test failed.
Seed: 1020529578, test failed.
Seed: 2081791602, test failed.
Seed: 1825603018, test failed.
Seed: 1017447400, test failed.
Seed: 1416927127, test failed.
Seed: 284288813, test failed.
Seed: 45837291, test failed.
Seed: 87085809, test failed.
Seed: 2063041540, test failed.
Seed: 55525516, test failed.
Seed: 1378225383, test failed.
Seed: 1390491111, test failed.
Seed: 1110035418, test failed.
Seed: 298187808, test failed.
Seed: 1312552679, test failed.
Seed: 1576392036, test failed.
Seed: 839690960, test failed.
Seed: 815999556, test failed.
Seed: 741924709, test failed.
Seed: 1576736864, test failed.
Seed: 301994975, test failed.
Seed: 2033200342, test failed.
