randomtestadventurer.c:
Testing Adventurer...
Seed: 1087148031, test failed, incorrect number of cards in hand.
Seed: 1444143827, test failed, incorrect number of cards in hand.
Seed: 373687799, test failed, incorrect number of cards in hand.
Seed: 199955188, test failed, incorrect number of cards in hand.
Seed: 1487879599, test failed, incorrect number of cards in hand.
Seed: 1205784286, test failed, incorrect number of cards in hand.
Seed: 1029433883, test failed, incorrect number of cards in hand.
Seed: 1541802036, test failed, incorrect number of cards in hand.
Seed: 829807882, test failed, incorrect number of cards in hand.
Seed: 1756703557, test failed, incorrect number of cards in hand.
Seed: 1090595290, test failed, incorrect number of cards in hand.
Seed: 364695062, test failed, incorrect number of cards in hand.
Seed: 250624832, test failed, incorrect number of cards in hand.
Seed: 1249836870, test failed, incorrect number of cards in hand.
Seed: 1067725103, test failed, incorrect number of cards in hand.
Seed: 119298164, test failed, incorrect number of cards in hand.
Seed: 2047487605, test failed, incorrect number of cards in hand.
Seed: 872399830, test failed, incorrect number of cards in hand.
Seed: 181268405, test failed, incorrect number of cards in hand.
Seed: 469596465, test failed, incorrect number of cards in hand.
Seed: 936168962, test failed, incorrect number of cards in hand.
Seed: 1384308642, test failed, incorrect number of cards in hand.
Seed: 384371125, test failed, incorrect number of cards in hand.
Seed: 63400404, test failed, incorrect number of cards in hand.
Seed: 1310403830, test failed, incorrect number of cards in hand.
Seed: 1932110869, test failed, incorrect number of cards in hand.
Seed: 2138359338, test failed, incorrect number of cards in hand.
Seed: 1127453905, test failed, incorrect number of cards in hand.
Seed: 2086864218, test failed, incorrect number of cards in hand.
Seed: 208151133, test failed, incorrect number of cards in hand.
Seed: 92946914, test failed, incorrect number of cards in hand.
Seed: 182100779, test failed, incorrect number of cards in hand.
Seed: 1875961314, test failed, incorrect number of cards in hand.
Seed: 901679858, test failed, incorrect number of cards in hand.
Seed: 1893298046, test failed, incorrect number of cards in hand.
Seed: 1022760843, test failed, incorrect number of cards in hand.
Seed: 1103077890, test failed, incorrect number of cards in hand.
Seed: 996103304, test failed, incorrect number of cards in hand.
Seed: 2096343621, test failed, incorrect number of cards in hand.
Seed: 347375166, test failed, incorrect number of cards in hand.
Seed: 1006509150, test failed, incorrect number of cards in hand.
Seed: 1389704633, test failed, incorrect number of cards in hand.
Seed: 950512267, test failed, incorrect number of cards in hand.
Seed: 158077077, test failed, incorrect number of cards in hand.
Seed: 1269931956, test failed, incorrect number of cards in hand.
Seed: 459764060, test failed, incorrect number of cards in hand.
Seed: 182055798, test failed, incorrect number of cards in hand.
Seed: 1923509402, test failed, incorrect number of cards in hand.
Seed: 1754555504, test failed, incorrect number of cards in hand.
Seed: 395418448, test failed, incorrect number of cards in hand.
Seed: 1837565640, test failed, incorrect number of cards in hand.
Seed: 1603748218, test failed, incorrect number of cards in hand.
Seed: 457770441, test failed, incorrect number of cards in hand.
Seed: 516136538, test failed, incorrect number of cards in hand.
Seed: 1903129221, test failed, incorrect number of cards in hand.
Seed: 825067094, test failed, incorrect number of cards in hand.
Seed: 2091239013, test failed, incorrect number of cards in hand.
Seed: 849110148, test failed, incorrect number of cards in hand.
Seed: 110713199, test failed, incorrect number of cards in hand.
Seed: 1553848990, test failed, incorrect number of cards in hand.
Seed: 1417704739, test failed, incorrect number of cards in hand.
Seed: 1834660829, test failed, incorrect number of cards in hand.
Seed: 750666887, test failed, incorrect number of cards in hand.
Seed: 1223182853, test failed, incorrect number of cards in hand.
Seed: 582306199, test failed, incorrect number of cards in hand.
Seed: 1783900180, test failed, incorrect number of cards in hand.
Seed: 99549903, test failed, incorrect number of cards in hand.
Seed: 1591899264, test failed, incorrect number of cards in hand.
Seed: 363110642, test failed, incorrect number of cards in hand.
Seed: 370058921, test failed, incorrect number of cards in hand.
Seed: 813894616, test failed, incorrect number of cards in hand.
Seed: 204776912, test failed, incorrect number of cards in hand.
Seed: 1638373162, test failed, incorrect number of cards in hand.
Seed: 1394923050, test failed, incorrect number of cards in hand.
Seed: 2078699457, test failed, incorrect number of cards in hand.
Seed: 1270030332, test failed, incorrect number of cards in hand.
Seed: 640658151, test failed, incorrect number of cards in hand.
Seed: 954473806, test failed, incorrect number of cards in hand.
Seed: 1463077462, test failed, incorrect number of cards in hand.
Seed: 92603752, test failed, incorrect number of cards in hand.
Seed: 1362406914, test failed, incorrect number of cards in hand.
Seed: 1843152775, test failed, incorrect number of cards in hand.
Seed: 935590814, test failed, incorrect number of cards in hand.
Seed: 1253060522, test failed, incorrect number of cards in hand.
Seed: 756415014, test failed, incorrect number of cards in hand.
Seed: 735176602, test failed, incorrect number of cards in hand.
Seed: 1420775949, test failed, incorrect number of cards in hand.
Seed: 1162257983, test failed, incorrect number of cards in hand.
Seed: 1156178887, test failed, incorrect number of cards in hand.
Seed: 822690426, test failed, incorrect number of cards in hand.
Seed: 468979575, test failed, incorrect number of cards in hand.
Seed: 422133731, test failed, incorrect number of cards in hand.
Seed: 712666026, test failed, incorrect number of cards in hand.
Seed: 849813563, test passed.
Seed: 1990146775, test failed, incorrect number of cards in hand.
Seed: 904791662, test failed, incorrect number of cards in hand.
Seed: 1197564230, test failed, incorrect number of cards in hand.
Seed: 1560995845, test failed, incorrect number of cards in hand.
Seed: 767552527, test failed, incorrect number of cards in hand.
Seed: 1584998942, test failed, incorrect number of cards in hand.
Seed: 1188452587, test failed, incorrect number of cards in hand.
Seed: 797526455, test failed, incorrect number of cards in hand.
Seed: 884429292, test failed, incorrect number of cards in hand.
Seed: 346742224, test failed, incorrect number of cards in hand.
